trilha_nome,curso_nome,curso_link,modulo_id,modulo_nome,aula_id,aula_nome,aula_slug,aula_link,aula_concluida,aula_sumario,aula_conteudo_html
Workshop com convidado,Como sair do ZERO em Observabilidade com Logfire - Solução Pydantic e Open Source,https://jornadadedados.alpaclass.com/c/cursos/eYO8Sn?from=contents,156008,Como sair do ZERO em Observabilidade com Logfire - Solução Pydantic e Open Source,831952,Conteúdo,dbzK1b,https://jornadadedados.alpaclass.com/c/cursos/eYO8Sn?lessonSlug=dbzK1b,False,"Aprenda como sair do ZERO em Observabilidade com Logfire, uma solução poderosa baseada no Pydantic e totalmente Open Source! 

GitHub do Marcelo Trylesinski: https://github.com/Kludex

Neste vídeo, exploramos:
1) Como implementar observabilidade de forma simples e eficaz.
2) As principais funcionalidades do Logfire para engenheiros e analistas de dados.
3) Dicas práticas para monitoramento, logging e troubleshooting com foco em dados.

Se você é um engenheiro ou analista de dados e quer dominar observabilidade sem complicações, este guia é para você!",
Workshop com convidado,dbt no Airflow - Como melhorar o desempenho do seu deploy de forma correta,https://jornadadedados.alpaclass.com/c/cursos/j7ARHl?from=contents,156023,dbt no Airflow - Como melhorar o desempenho do seu deploy de forma correta,831981,Conteúdo,VkqlSy,https://jornadadedados.alpaclass.com/c/cursos/j7ARHl?lessonSlug=VkqlSy,False,"Você está convidado para uma live imperdível na próxima quarta-feira, 13/11, às 20h, onde exploraremos como otimizar o deploy do dbt no Airflow com uma abordagem prática e eficaz. Receberemos a convidada especial Tatiana Martins, Staff Engineer da Astronomer, que compartilhará insights valiosos para você levar seu fluxo de dados ao próximo nível.

Nesta sessão, você aprenderá:

1) Como fazer o deploy do dbt no Airflow de forma correta e eficiente.
2) Práticas recomendadas para aumentar a performance do seu pipeline.
3) Dicas para evitar armadilhas comuns e garantir uma execução mais fluida.",
Workshop com convidado,Python ou Power BI: Qual é melhor? Construindo o mesmo dashboard em 1 hora!,https://jornadadedados.alpaclass.com/c/cursos/Yp1RTW?from=contents,156020,Python ou Power BI: Qual é melhor? Construindo o mesmo dashboard em 1 hora!,831977,Conteúdo,n8O97Y,https://jornadadedados.alpaclass.com/c/cursos/Yp1RTW?lessonSlug=n8O97Y,False,"Quer saber qual ferramenta é a melhor para suas análises de dados? 🤔 Nesta live especial, vamos colocar duas das principais ferramentas do mercado frente a frente: Python e Power BI!

👨‍💻 O que vamos fazer?
Dois especialistas irão construir o mesmo dashboard ao vivo, usando Python e Power BI. Vamos explorar cada detalhe: tempo de desenvolvimento, flexibilidade, integração, escalabilidade e muito mais!

🎯 O que você vai aprender?
As vantagens e desvantagens de cada ferramenta.
Quando usar Python ou Power BI em seus projetos de dados.
Dicas práticas para melhorar suas análises e visualizações.

",
Workshop com convidado,Como criar do ZERO um Lakehouse | Abertura Data Mesh Nilton Ueda,https://jornadadedados.alpaclass.com/c/cursos/8BNxsy?from=contents,156015,Como criar do ZERO um Lakehouse | Abertura Data Mesh Nilton Ueda,831966,Conteúdo,d9Rq5F,https://jornadadedados.alpaclass.com/c/cursos/8BNxsy?lessonSlug=d9Rq5F,False,,
Workshop com convidado,DuckDB do Zero ao Deploy,https://jornadadedados.alpaclass.com/c/cursos/BZSPXe?from=contents,135991,Workshop,718211,Participação Mehdi Ouazza,eS2mcD,https://jornadadedados.alpaclass.com/c/cursos/BZSPXe?lessonSlug=eS2mcD,False,,
Workshop com convidado,DuckDB do Zero ao Deploy,https://jornadadedados.alpaclass.com/c/cursos/BZSPXe?from=contents,135991,Workshop,718212,Parte 2,3h5JVz,https://jornadadedados.alpaclass.com/c/cursos/BZSPXe?lessonSlug=3h5JVz,False,,
Workshop com convidado,Modern Data Stack com SQL,https://jornadadedados.alpaclass.com/c/cursos/YO559h?from=contents,135994,Workshop,718227,Modern Data Stack com SQL - Parte 1 de 3 com Marc Lamberti‬,ThltKX,https://jornadadedados.alpaclass.com/c/cursos/YO559h?lessonSlug=ThltKX,False,,
Workshop com convidado,Modern Data Stack com SQL,https://jornadadedados.alpaclass.com/c/cursos/YO559h?from=contents,135994,Workshop,718228,Modern Data Stack com SQL - Parte 2 de 3,jj1Xel,https://jornadadedados.alpaclass.com/c/cursos/YO559h?lessonSlug=jj1Xel,False,,
Workshop com convidado,Modern Data Stack com SQL,https://jornadadedados.alpaclass.com/c/cursos/YO559h?from=contents,135994,Workshop,718229,Modern Data Stack com SQL - Parte 3 de 3,TbmRhL,https://jornadadedados.alpaclass.com/c/cursos/YO559h?lessonSlug=TbmRhL,False,,
Workshop com convidado,Como sair do ZERO no DATABRICKS -  ETL com Data Lakehouse,https://jornadadedados.alpaclass.com/c/cursos/Qs9Je4?from=contents,135997,Workshop,718234,Como sair do ZERO no DATABRICKS - ETL com Data Lakehouse com Téo Calvo,zLajs7,https://jornadadedados.alpaclass.com/c/cursos/Qs9Je4?lessonSlug=zLajs7,False,,
